,object_name,object_oktmo,object_okato
668,Алтайский край,1000000000.0,1000000000.0
669,Амурская область,10000000000.0,10000000000.0
670,Архангельская область,11000000000.0,11000000000.0
671,Архангельская область без Ненецкого автономного округа,,
672,Астраханская область,12000000000.0,12000000000.0
673,Белгородская область,14000000000.0,14000000000.0
674,Брянская область,15000000000.0,15000000000.0
675,Владимирская область,17000000000.0,17000000000.0
676,Волгоградская область,18000000000.0,18000000000.0
677,Вологодская область,19000000000.0,19000000000.0
678,Воронежская область,20000000000.0,20000000000.0
679,Дальневосточный федеральный округ,,
680,Еврейская автономная область,99000000000.0,99000000000.0
681,Забайкальский край,76000000000.0,76000000000.0
682,Ивановская область,24000000000.0,24000000000.0
683,Иркутская область,25000000000.0,25000000000.0
684,Кабардино-Балкарская Республика,83000000000.0,83000000000.0
685,Калининградская область,27000000000.0,27000000000.0
686,Калужская область,29000000000.0,29000000000.0
687,Камчатский край,30000000000.0,30000000000.0
688,Карачаево-Черкесская Республика,91000000000.0,91000000000.0
689,Кемеровская область – Кузбасс,32000000000.0,32000000000.0
690,Кировская область,33000000000.0,33000000000.0
691,Костромская область,34000000000.0,34000000000.0
692,Краснодарский край,3000000000.0,3000000000.0
693,Красноярский край,4000000000.0,4000000000.0
694,Курганская область,37000000000.0,37000000000.0
695,Курская область,38000000000.0,38000000000.0
696,Ленинградская область,41000000000.0,41000000000.0
697,Липецкая область,42000000000.0,42000000000.0
698,Магаданская область,44000000000.0,44000000000.0
699,Москва,45000000000.0,45000000000.0
700,Московская область,46000000000.0,46000000000.0
701,Мурманская область,47000000000.0,47000000000.0
702,Ненецкий автономный округ,11800000000.0,11100000000.0
703,Нижегородская область,22000000000.0,22000000000.0
704,Новгородская область,49000000000.0,49000000000.0
705,Новосибирская область,50000000000.0,50000000000.0
706,Омская область,52000000000.0,52000000000.0
707,Оренбургская область,53000000000.0,53000000000.0
708,Орловская область,54000000000.0,54000000000.0
709,Пензенская область,56000000000.0,56000000000.0
710,Пермский край,57000000000.0,57000000000.0
711,Приволжский федеральный округ,,
712,Приморский край,5000000000.0,5000000000.0
713,Псковская область,58000000000.0,58000000000.0
714,Республика Адыгея (Адыгея),79000000000.0,79000000000.0
715,Республика Алтай,84000000000.0,84000000000.0
716,Республика Башкортостан,80000000000.0,80000000000.0
717,Республика Бурятия,81000000000.0,81000000000.0
718,Республика Дагестан,82000000000.0,82000000000.0
719,Республика Ингушетия,26000000000.0,26000000000.0
720,Республика Калмыкия,85000000000.0,85000000000.0
721,Республика Карелия,86000000000.0,86000000000.0
722,Республика Коми,87000000000.0,87000000000.0
723,Республика Крым,35000000000.0,35000000000.0
724,Республика Марий Эл,88000000000.0,88000000000.0
725,Республика Мордовия,89000000000.0,89000000000.0
726,Республика Саха (Якутия),98000000000.0,98000000000.0
727,Республика Северная Осетия – Алания,90000000000.0,90000000000.0
728,Республика Татарстан (Татарстан),92000000000.0,92000000000.0
729,Республика Тыва,93000000000.0,93000000000.0
730,Республика Хакасия,95000000000.0,95000000000.0
731,Российская Федерация,,
732,Ростовская область,60000000000.0,60000000000.0
733,Рязанская область,61000000000.0,61000000000.0
734,Самарская область,36000000000.0,36000000000.0
735,Санкт-Петербург,40000000000.0,40000000000.0
736,Саратовская область,63000000000.0,63000000000.0
737,Сахалинская область,64000000000.0,64000000000.0
738,Свердловская область,65000000000.0,65000000000.0
739,Севастополь,67000000000.0,67000000000.0
740,Северо-Западный федеральный округ,,
741,Северо-Кавказский федеральный округ,,
742,Сибирский федеральный округ,,
743,Смоленская область,66000000000.0,66000000000.0
744,Ставропольский край,7000000000.0,7000000000.0
745,Тамбовская область,68000000000.0,68000000000.0
746,Тверская область,28000000000.0,28000000000.0
747,Томская область,69000000000.0,69000000000.0
748,Тульская область,70000000000.0,70000000000.0
749,Тюменская область,71000000000.0,71000000000.0
750,Тюменская область без автономий,,
751,Удмуртская Республика,94000000000.0,94000000000.0
752,Ульяновская область,73000000000.0,73000000000.0
753,Уральский федеральный округ,,
754,Хабаровский край,8000000000.0,8000000000.0
755,Ханты-Мансийский автономный округ – Югра,71800000000.0,71100000000.0
756,Центральный федеральный округ,,
757,Челябинская область,75000000000.0,75000000000.0
758,Чеченская Республика,96000000000.0,96000000000.0
759,Чувашская Республика – Чувашия,97000000000.0,97000000000.0
760,Чукотский автономный округ,77000000000.0,77000000000.0
761,Южный федеральный округ,,
762,Ямало-Ненецкий автономный округ,71900000000.0,71140000000.0
763,Ярославская область,78000000000.0,78000000000.0
23508,Абакан,95701000001.0,95401000000.0
23509,Альметьевск,92608101001.0,92405000000.0
23510,Ангарск,25703000001.0,25203501000.0
23511,Арзамас,22703000001.0,22403000000.0
23512,Армавир,3705000001.0,3405000000.0
23513,Артём,5705000001.0,5405000000.0
23514,Архангельск,11701000001.0,11401000000.0
23515,Астрахань,12701000001.0,12401000000.0
23516,Ачинск,4703000001.0,4403000000.0
23517,Балаково,63607101001.0,63207501000.0
23518,Балашиха,46704000001.0,46404000000.0
23519,Барнаул,1701000001.0,1401000000.0
23520,Батайск,60707000001.0,60407000000.0
23521,Белгород,14701000001.0,14401000000.0
23522,Бердск,50708000001.0,50408000000.0
23523,Березники,57708000001.0,57408000000.0
